language,glottocode,area,family,latitude,longitude,Comitatives.and.Instrumentals,Noun.Phrase.Conjunction,Nominal.and.Verbal.Conjunction,Definite.Articles,Indefinite.Articles,Expression.of.Pronominal.Subjects,Indefinite.Pronouns,Third.Person.Pronouns.and.Demonstratives,Distance.Contrasts.in.Demonstratives,Pronominal.and.Adnominal.Demonstratives,Intensifiers.and.Reflexive.Pronouns,Gender.Distinctions.in.Independent.Personal.Pronouns,Systems.of.Gender.Assignment,Gender.n,Negative.Morphemes,Nominal.Plurality,Ordinal.Numerals,Distributive.Numerals,Order.of.Adjective.and.Noun,Order.of.Adposition.and.Noun.Phrase,Order.of.Degree.Word.and.Adjective,Order.of.Demonstrative.and.Noun,Order.of.Genitive.and.Noun,Order.of.Negative.Morpheme.and.Verb,Order.of.Numeral.and.Noun,Order.of.Object..Oblique..and.Verb,Order.of.Relative.Clause.and.Noun,Passive.Constructions,Reciprocal.Constructions,Optative,The.Prohibitive,The.Morphological.Imperative,Person.Marking.on.Adpositions,Position.of.Interrogative.Phrases.in.Content.Questions,Position.of.Polar.Question.Particles,Possessive.Classification,Position.of.Pronominal.Possessive.Affixes,Locus.of.Marking.in.Possessive.Noun.Phrases,Reduplication,The.Future.Tense,The.Past.Tense,Perfective.Imperfective.Aspect,Verbal.Person.Marking,WordOrderSOV,NPAgrCat,NPHeadlessness,ClausePosition,NumClass.n,NPMarking,AlignmentCaseDominantSAP,VInflCatandAgrFmtvMax.binned3
Old Akkadian,akka1240,anea,East Semitic,33.1,44.1,Differentiation,And different from 'with',Identity,No definite or indefinite article,No definite or indefinite article,Optional pronouns in subject position,Interrogative-based,Related to remote demonstratives,Two-way contrast,Identical,Identical,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,"First/one-th, two-th, three-th",NA,Noun-Adjective,Prepositions,NA,Noun-Demonstrative,Noun-Genitive,NegV,Numeral-Noun,OXV,Noun-Relative clause,Present,Distinct from reflexive,Inflectional optative present,Special imperative + special negative,Second singular and second plural,No person marking,Initial interrogative phrase,No question particle,No possessive classification,Possessive suffixes,Double marking,Productive full and partial reduplication,No inflectional future,No past tense,Grammatical marking,Only the A argument,SOV,"Case, Number, Gender",OK,flexible-relational,0,Head-driven agr. + Construct state + Juxtaposition,S=Atr≠P,low
Old Assyrian,akka1240,anea,East Semitic,35.88,40.95,Identity,And different from 'with',Identity,No definite or indefinite article,No definite or indefinite article,Optional pronouns in subject position,Interrogative-based,Unrelated,No distance contrast,Identical,Identical,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,"First/one-th, two-th, three-th",Marked by mixed or other strategies,Noun-Adjective,Prepositions,NA,Noun-Demonstrative,Noun-Genitive,NegV,Numeral-Noun,No dominant order,Noun-Relative clause,Present,Mixed,Inflectional optative present,Special imperative + special negative,Second singular and second plural,Pronouns only,Initial interrogative phrase,No question particle,No possessive classification,Possessive suffixes,Double marking,Productive full and partial reduplication,No inflectional future,No past tense,No grammatical marking,Only the A argument,SOV,NA,OK,flexible-relational,0,Head-driven agr. + Construct state + Juxtaposition,S=Atr≠P,low
Middle Assyrian,akka1240,anea,East Semitic,36.21,41.15,Identity,And different from 'with',Identity,No definite or indefinite article,No definite or indefinite article,Optional pronouns in subject position,Interrogative-based,Unrelated,No distance contrast,Identical,Identical,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,"First/one-th, two-th, three-th",Marked by mixed or other strategies,Noun-Adjective,Prepositions,NA,Noun-Demonstrative,Noun-Genitive,NegV,Numeral-Noun,No dominant order,Noun-Relative clause,Present,Mixed,Inflectional optative present,Special imperative + special negative,Second singular and second plural,Pronouns only,Initial interrogative phrase,No question particle,No possessive classification,Possessive suffixes,Double marking,Productive full and partial reduplication,No inflectional future,No past tense,No grammatical marking,Only the A argument,SOV,NA,OK,flexible-relational,0,Head-driven agr. + Construct state + Juxtaposition,S=Atr≠P,low
Neo-Assyrian,akka1240,anea,East Semitic,36.31,41.05,NA,NA,Identity,No definite or indefinite article,No definite or indefinite article,Optional pronouns in subject position,Special,Unrelated,Two-way contrast,Identical,NA,In 3rd person + 1st and/or 2nd person,NA,NA,Negative particle,Plural suffix,"First/one-th, two-th, three-th",Marked by suffix,Noun-Adjective,Prepositions,NA,Noun-Demonstrative,Noun-Genitive,NegV,Numeral-Noun,No dominant order,Noun-Relative clause,NA,NA,Inflectional optative present,Special imperative + normal negative,Second singular and second plural,Pronouns only,Mixed,NA,No possessive classification,Possessive suffixes,Double marking,Productive full and partial reduplication,No inflectional future,NA,NA,Only the A argument,SOV,NA,NA,flexible-relational,0,Head-driven agr. + Construct state + Juxtaposition,S=Atr≠P,low
Old Babylonian,akka1240,anea,East Semitic,32.61,44.61,Differentiation,And different from 'with',Identity,No definite or indefinite article,No definite or indefinite article,Optional pronouns in subject position,Interrogative-based,Related to remote demonstratives,Two-way contrast,Identical,Identical,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,"First/one-th, two-th, three-th",NA,Noun-Adjective,Prepositions,NA,Noun-Demonstrative,Noun-Genitive,NegV,Numeral-Noun,OXV,Noun-Relative clause,Present,Distinct from reflexive,Inflectional optative present,Special imperative + special negative,Second singular and second plural,No person marking,Initial interrogative phrase,No question particle,No possessive classification,Possessive suffixes,Double marking,Productive full and partial reduplication,No inflectional future,No past tense,Grammatical marking,Only the A argument,SOV,"Case, Number, Gender",OK,flexible-relational,0,Head-driven agr. + Construct state + Juxtaposition,S=Atr≠P,low
Middle Babylonian,akka1240,anea,East Semitic,32.75,44.51,Differentiation,And different from 'with',Identity,No definite or indefinite article,No definite or indefinite article,Optional pronouns in subject position,Interrogative-based,Related to remote demonstratives,Two-way contrast,Identical,Identical,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,"First/one-th, two-th, three-th",NA,Noun-Adjective,Prepositions,NA,Noun-Demonstrative,Noun-Genitive,NegV,Numeral-Noun,OXV,Noun-Relative clause,Present,Distinct from reflexive,Inflectional optative present,Special imperative + special negative,Second singular and second plural,No person marking,Initial interrogative phrase,No question particle,No possessive classification,Possessive suffixes,Double marking,Productive full and partial reduplication,No inflectional future,No past tense,Grammatical marking,Only the A argument,SOV,"Case, Number, Gender",OK,flexible-relational,0,Head-driven agr. + Construct state + Juxtaposition,S=Atr≠P,low
Neo-Babylonian,akka1240,anea,East Semitic,32.5,44.87,Differentiation,And different from 'with',Identity,No definite or indefinite article,No definite or indefinite article,Optional pronouns in subject position,Interrogative-based,Related to remote demonstratives,Two-way contrast,Identical,Identical,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,"First/one-th, two-th, three-th",NA,Noun-Adjective,Prepositions,NA,Noun-Demonstrative,Noun-Genitive,NegV,Numeral-Noun,OXV,Noun-Relative clause,Present,Distinct from reflexive,Inflectional optative present,Special imperative + special negative,Second singular and second plural,No person marking,Initial interrogative phrase,No question particle,No possessive classification,Possessive suffixes,Double marking,Productive full and partial reduplication,No inflectional future,No past tense,Grammatical marking,Only the A argument,SOV,"Case, Number, Gender",OK,flexible-relational,0,Head-driven agr. + Construct state + Juxtaposition,S=Atr≠P,low
Eblaite,ebla1238,anea,East Semitic,35.8,36.8,Differentiation,And different from 'with',Identity,No definite or indefinite article,No definite or indefinite article,Optional pronouns in subject position,Interrogative-based,Related to remote demonstratives,Two-way contrast,Identical,Identical,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,"First/one-th, two-th, three-th",NA,Noun-Adjective,Prepositions,NA,Noun-Demonstrative,Noun-Genitive,NegV,Numeral-Noun,OXV,Noun-Relative clause,Present,Distinct from reflexive,Inflectional optative present,Special imperative + special negative,Second singular and second plural,No person marking,Initial interrogative phrase,No question particle,No possessive classification,Possessive suffixes,Double marking,Productive full and partial reduplication,No inflectional future,No past tense,Grammatical marking,Only the A argument,SOV,"Case, Number, Gender",OK,flexible-relational,0,Head-driven agr. + Construct state + Juxtaposition,S=Atr≠P,low
Dumaitic North Arabian,duma1255,anea,Central Semitic,29.8,39.89,Differentiation,And different from 'with',Identity,Definite affix,"No indefinite, but definite article",Subject affixes on verb,NA,NA,NA,NA,NA,NA,Semantic and formal,Two,Negative particle,Plural suffix,NA,NA,Noun-Adjective,Prepositions,NA,Noun-Demonstrative,Noun-Genitive,NegV,Numeral-Noun,NA,Noun-Relative clause,NA,NA,NA,NA,Second singular and second plural,Pronouns only,NA,NA,NA,Possessive suffixes,NA,NA,NA,NA,Grammatical marking,"A obligatory, P optional",SVO,"Gender,Number,Definiteness",NA,NA,NA,Head-driven agr. + Construct state,NA,low
Hasaitic North Arabian,hasa1249,anea,Central Semitic,25.79,49.27,Differentiation,And different from 'with',Identity,No definite or indefinite article,No definite or indefinite article,Subject affixes on verb,NA,NA,NA,NA,NA,NA,Semantic and formal,Two,Negative particle,Plural suffix,NA,NA,Noun-Adjective,Prepositions,NA,Noun-Demonstrative,Noun-Genitive,NegV,Numeral-Noun,No dominant order,Noun-Relative clause,NA,NA,NA,NA,Second singular and second plural,Pronouns only,NA,NA,NA,Possessive suffixes,NA,NA,NA,NA,Grammatical marking,"A obligatory, P optional",NA,"Gender,Number,Definiteness",NA,NA,NA,Head-driven agr. + Construct state,NA,low
Arabic,arab1395,anea,Central Semitic,29.63,33.12,Differentiation,And different from 'with',Identity,Definite affix,Indefinite affix,Subject affixes on verb,Interrogative-based,Unrelated,Two-way contrast,Identical,Identical,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,Plural stem change,"First, two, three",Marked by mixed or other strategies,Noun-Adjective,Prepositions,Adjective-Degree word,Noun-Demonstrative,Noun-Genitive,NegV,Numeral-Noun,VOX,Noun-Relative clause,Present,No reciprocals,Inflectional optative absent,Special imperative + normal negative,Second singular and second plural,Pronouns only,Initial interrogative phrase,Initial,No possessive classification,Possessive suffixes,Double marking,Productive full and partial reduplication,No inflectional future,No past tense,Grammatical marking,Only the A argument,VSO,"Gender, Number, State, Case",OK,flexible-relational,0,Head-driven agr. + Construct state,S=Atr≠P,low
Old Aramaic,olda1246,anea,Northwest Semitic,32.84,37,NA,NA,NA,Definite affix,Indefinite affix,Subject affixes on verb,NA,Unrelated,Two-way contrast,NA,NA,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,"First, two, three",NA,Noun-Adjective,Prepositions,NA,Mixed,Noun-Genitive,NegV,No dominant order,NA,Noun-Relative clause,Present,NA,NA,Special imperative + special negative,Second singular and second plural,NA,Initial interrogative phrase,No question particle,NA,Possessive suffixes,Head marking,NA,No inflectional future,No past tense,Grammatical marking,"A obligatory, P optional",VSO,"Gender,Number,State",OK,NA,NA,Head-driven agr. + Construct state,S=Atr=P,low
Samal,sama1317,anea,Northwest Semitic,37.1,36.67,NA,NA,NA,Definite affix,Indefinite affix,Subject affixes on verb,NA,Unrelated,Two-way contrast,NA,NA,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,"First, two, three",NA,Noun-Adjective,Prepositions,NA,Mixed,Noun-Genitive,NegV,No dominant order,NA,Noun-Relative clause,Present,NA,NA,Special imperative + special negative,Second singular and second plural,NA,Initial interrogative phrase,No question particle,NA,Possessive suffixes,Head marking,Productive full and partial reduplication,No inflectional future,No past tense,Grammatical marking,"A obligatory, P optional",VSO,"Gender,Number,State",OK,NA,NA,Head-driven agr. + Construct state,S=Atr=P,low
Imperial Aramaic,impe1235,anea,Northwest Semitic,33.91,42.19,NA,NA,NA,Definite affix,Indefinite affix,Subject affixes on verb,Mixed indefinites,Unrelated,Two-way contrast,NA,NA,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,"First, two, three",NA,Noun-Adjective,Prepositions,NA,Noun-Demonstrative,Noun-Genitive,NegV,No dominant order,NA,Noun-Relative clause,Present,NA,Inflectional optative present,Special imperative + special negative,Second singular and second plural,NA,Initial interrogative phrase,No question particle,NA,Possessive suffixes,Head marking,Productive full and partial reduplication,No inflectional future,No past tense,Grammatical marking,"A obligatory, P optional",VSO,"Gender,Number,State",OK,NA,NA,Head-driven agr. + Construct state,S=Atr=P,low
Middle Aramaic,midd1366,anea,Northwest Semitic,32.28,35.2,NA,NA,NA,Definite affix,Indefinite affix,Subject affixes on verb,NA,Unrelated,Two-way contrast,NA,NA,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,"First, two, three",NA,Noun-Adjective,Prepositions,NA,Mixed,Noun-Genitive,NegV,No dominant order,NA,Noun-Relative clause,Present,NA,NA,Special imperative + special negative,Second singular and second plural,NA,Initial interrogative phrase,No question particle,NA,Possessive suffixes,Head marking,NA,No inflectional future,No past tense,Grammatical marking,"A obligatory, P optional",VSO,"Gender,Number,State",OK,NA,NA,Head-driven agr. + Construct state,S=Atr=P,low
Jewish Palestinian Aramaic,pale1261,anea,Northwest Semitic,32.28,35.2,NA,NA,NA,"No definite, but indefinite article",Indefinite word distinct from 'one',Subject affixes on verb,NA,Related to remote demonstratives,Two-way contrast,Different stem,NA,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,"First, two, three",Marked by reduplication,Noun-Adjective,Prepositions,NA,Demonstrative-Noun,Noun-Genitive,NegV,No dominant order,NA,Noun-Relative clause,Present,NA,NA,Special imperative + special negative,Second singular and second plural,NA,Initial interrogative phrase,No question particle,No possessive classification,Possessive suffixes,Head marking,Productive full and partial reduplication,Inflectional future exists,"Present, no remoteness distinctions",No grammatical marking,"A obligatory, P optional",VSO,"Gender,Number,State",OK,NA,0,Head-driven agr. + Construct state,S=Atr=P,low
